1.0000186E+006	1.0091678E+001	1.6536053E+002
7.4598238E+005	8.5631847E+000	2.4672360E+002
5.5648750E+005	3.0432014E+001	3.4551276E+002
4.1512953E+005	5.7657116E+001	4.6750064E+002
3.0967934E+005	1.1078349E+002	6.3363318E+002
2.3101619E+005	1.7737172E+002	8.3299133E+002
1.7232964E+005	2.8809970E+002	1.0827177E+003
1.2855367E+005	4.4926581E+002	1.3745494E+003
9.5902617E+004	6.9068848E+002	1.7041748E+003
7.1537258E+004	1.0086415E+003	2.0715479E+003
5.3369953E+004	1.4222526E+003	2.4453862E+003
3.9814063E+004	2.0369788E+003	2.7256509E+003
2.9700492E+004	2.5254128E+003	3.0788213E+003
2.2157064E+004	3.0355024E+003	3.4054368E+003
1.6525014E+004	3.6761248E+003	3.7146936E+003
1.2331135E+004	4.3209053E+003	4.0352285E+003
9.2288525E+003	4.9617827E+003	4.4188545E+003
6.9032866E+003	5.6132388E+003	4.8867900E+003
5.1200850E+003	6.3564033E+003	5.4434082E+003
3.8163364E+003	7.0664814E+003	6.1730151E+003
2.8472668E+003	7.9206694E+003	7.0377183E+003
2.1256799E+003	8.8223584E+003	8.1425688E+003
1.5855076E+003	9.6127070E+003	9.6570811E+003
1.1818910E+003	1.0802832E+004	1.1567742E+004
8.8141022E+002	1.2200707E+004	1.3825336E+004
6.5768494E+002	1.3723732E+004	1.6891152E+004
4.9078522E+002	1.5004902E+004	2.1009141E+004
3.6605426E+002	1.7895414E+004	2.5813467E+004
2.7299075E+002	2.1091979E+004	3.2018664E+004
2.0376114E+002	2.5061516E+004	3.9473926E+004
1.5199416E+002	3.0960408E+004	4.8678813E+004
1.1343907E+002	3.8640129E+004	5.9399898E+004
8.4593941E+001	4.9389531E+004	7.1685430E+004
6.3082302E+001	6.2586965E+004	8.4956922E+004
4.7063255E+001	8.1272414E+004	9.8098453E+004
3.5101093E+001	1.0175093E+005	1.0931486E+005
2.6181301E+001	1.2584909E+005	1.2064308E+005
1.9531252E+001	1.5375552E+005	1.2916650E+005
1.4575557E+001	1.7724420E+005	1.3479520E+005
1.0880919E+001	2.0902214E+005	1.3970159E+005
8.1042528E+000	2.3486294E+005	1.4683703E+005
6.0468264E+000	2.5540891E+005	1.5539702E+005
4.5106812E+000	2.8033916E+005	1.5873908E+005
3.3674569E+000	3.0798600E+005	1.7385344E+005
2.5136740E+000	3.3273606E+005	1.8792095E+005
1.8744003E+000	3.5739978E+005	2.0067897E+005
1.3970852E+000	3.8307516E+005	2.3637347E+005
1.0433360E+000	4.1846841E+005	2.7218153E+005
7.7705413E-001	4.6244928E+005	3.0505338E+005
5.7999259E-001	5.0502856E+005	3.5923034E+005
4.3258584E-001	5.6350556E+005	4.2877650E+005
3.2293734E-001	6.1363031E+005	4.9572250E+005
2.4074021E-001	7.0192838E+005	5.7738081E+005
1.7979608E-001	7.8276506E+005	6.7671794E+005
1.3415243E-001	9.0752613E+005	7.9727838E+005
9.9904113E-002	1.0532266E+006	9.1248669E+005
